Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
409,train_9x9_0487,9,500,-13.93,0,-0.5082
410,train_9x9_0011,9,500,-13.83,0,-0.4701
411,train_9x9_0379,9,201,-3.01,1,1.3947
412,train_9x9_0251,9,500,-14.36,0,-0.481
413,train_9x9_0101,9,189,-3.06,1,2.0175
414,train_9x9_0045,9,127,-1.1,1,1.7487
415,train_9x9_0141,9,340,-7.45,1,0.4862
416,train_9x9_0055,9,500,-14.13,0,-0.4922
417,train_9x9_0461,9,134,-0.91,1,2.3901
418,train_9x9_0109,9,500,-14.37,0,-0.5193
419,train_9x9_0105,9,53,0.89,1,3.7123
420,train_9x9_0415,9,500,-14.03,0,-0.4922
421,train_9x9_0339,9,500,-13.41,0,-0.5651
422,train_9x9_0109,9,419,-10.47,1,0.0567
423,train_9x9_0228,9,500,-13.31,0,-0.5182
424,train_9x9_0376,9,500,-14.71,0,-0.5216
425,train_9x9_0419,9,144,-1.58,1,1.904
426,train_9x9_0250,9,500,-14.49,0,-0.5004
427,train_9x9_0186,9,304,-6.66,1,0.5017
428,train_9x9_0322,9,299,-6.31,1,0.8757
429,train_9x9_0338,9,71,0.49,1,2.9281
430,train_9x9_0421,9,190,-3.25,1,1.2656
431,train_9x9_0149,9,290,-5.92,1,1.1216
432,train_9x9_0206,9,500,-14.1,0,-0.4996
433,train_9x9_0172,9,331,-8.05,1,0.5068
434,train_9x9_0337,9,500,-13.91,0,-0.5227
435,train_9x9_0181,9,500,-14.27,0,-0.5232
436,train_9x9_0441,9,500,-14.44,0,-0.5275
437,train_9x9_0436,9,348,-7.72,1,0.2279
438,train_9x9_0139,9,500,-12.96,0,-0.3687
439,train_9x9_0023,9,83,-0.55,1,2.5147
440,train_9x9_0369,9,409,-9.38,1,0.3644
441,train_9x9_0254,9,451,-11.26,1,0.0266
442,train_9x9_0224,9,500,-14.28,0,-0.467
443,train_9x9_0153,9,500,-14.43,0,-0.4725
444,train_9x9_0132,9,500,-14.72,0,-0.4227
445,train_9x9_0345,9,500,-12.78,0,-0.355
446,train_9x9_0237,9,500,-12.95,0,-0.2372
447,train_9x9_0071,9,32,1.39,1,5.2429
448,train_9x9_0130,9,82,-0.22,1,3.7632
449,train_9x9_0367,9,359,-8.6,1,0.9129
450,train_9x9_0078,9,10,1.88,1,4.5592
451,train_9x9_0313,9,500,-13.13,0,-0.3451
452,train_9x9_0443,9,500,-14.59,0,-0.3766
453,train_9x9_0134,9,500,-14.06,0,-0.4169
454,train_9x9_0366,9,500,-12.96,0,-0.3254
455,train_9x9_0493,9,500,-13.87,0,-0.393
456,train_9x9_0464,9,500,-14.38,0,-0.351
457,train_9x9_0418,9,500,-13.48,0,-0.3389
458,train_9x9_0313,9,500,-13.86,0,-0.294
459,train_9x9_0059,9,83,-0.17,1,3.8576
460,train_9x9_0246,9,415,-10.27,1,0.3223
461,train_9x9_0465,9,500,-13.58,0,-0.3467
462,train_9x9_0254,9,426,-9.99,1,0.5966
463,train_9x9_0265,9,500,-13.63,0,-0.281
464,train_9x9_0054,9,332,-6.97,1,0.7138
465,train_9x9_0480,9,500,-13.94,0,-0.2624
466,train_9x9_0084,9,500,-14.51,0,-0.2891
467,train_9x9_0021,9,500,-12.44,0,-0.0048
468,train_9x9_0009,9,500,-13.17,0,-0.0391
469,train_9x9_0050,9,500,-14.03,0,-0.1991
470,train_9x9_0488,9,419,-10.05,1,0.6757
471,train_9x9_0150,9,500,-13.45,0,0.0392
472,train_9x9_0398,9,500,-14.28,0,-0.2126
473,train_9x9_0026,9,364,-8.09,1,1.0646
474,train_9x9_0309,9,316,-7.39,1,1.2612
475,train_9x9_0077,9,355,-8.03,1,1.3722
476,train_9x9_0070,9,500,-14.08,0,-0.1303
477,train_9x9_0242,9,500,-13.69,0,-0.2495
478,train_9x9_0379,9,198,-2.9,1,3.3683
479,train_9x9_0164,9,308,-6.2,1,1.7191
480,train_9x9_0225,9,500,-14.84,0,-0.2988
481,train_9x9_0016,9,500,-14.41,0,-0.3002
482,train_9x9_0257,9,329,-7.68,1,1.4983
483,train_9x9_0481,9,196,-3.31,1,2.1288
484,train_9x9_0267,9,500,-14.68,0,-0.2957
485,train_9x9_0278,9,233,-4.57,1,1.7749
486,train_9x9_0145,9,500,-13.98,0,-0.3141
487,train_9x9_0202,9,500,-14.79,0,-0.3411
488,train_9x9_0061,9,500,-13.69,0,-0.1823
489,train_9x9_0030,9,371,-8.77,1,0.5816
490,train_9x9_0305,9,500,-14.37,0,-0.3664
491,train_9x9_0451,9,483,-11.13,1,0.2766
492,train_9x9_0365,9,261,-4.83,1,1.7573
493,train_9x9_0471,9,429,-9.9,1,0.4446
494,train_9x9_0025,9,254,-4.65,1,1.2584
495,train_9x9_0341,9,500,-13.33,0,-0.2153
496,train_9x9_0160,9,241,-5.09,1,1.9174
497,train_9x9_0098,9,500,-13.28,0,-0.3208
498,train_9x9_0260,9,500,-14.03,0,-0.4354
499,train_9x9_0121,9,500,-13.26,0,-0.3167
500,train_9x9_0103,9,451,-10.47,1,0.2909
501,train_9x9_0069,9,500,-14.19,0,-0.4533
502,train_9x9_0221,9,88,-0.57,1,4.8063
503,train_9x9_0440,9,67,0.38,1,5.7854
